 * Serving Flask app 'app'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5001
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 734-101-420
127.0.0.1 - - [05/Feb/2026 21:17:46] "POST /api/auth/login HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:21:47] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:21:47] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:22:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:22:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:22:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:22:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:22:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:22:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:23:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:23:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:23:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:23:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:23:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:23:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:24:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:24:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:24:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:24:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:24:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:24:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:25:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:25:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:25:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:25:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:25:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:25:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:26:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:26:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:26:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:26:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:26:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:26:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:26:47] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:26:47] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:26:47] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:27:17] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:27:17] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:27:17] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:27:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:27:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:27:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:28:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:28:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:28:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:28:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:28:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:28:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:29:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:29:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:29:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:29:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:29:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:29:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:30:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:30:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:30:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:30:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:30:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:30:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:31:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:31:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:31:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:31:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:31:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:31:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:32:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:32:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:32:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:32:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:32:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:32:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:33:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:33:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:33:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:33:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:33:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:33:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:34:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:34:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:34:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:34:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:34:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:34:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:35:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:35:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:35:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:35:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:35:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:35:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:36:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:36:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:36:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:36:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:36:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:36:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:37:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:37:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:37:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:37:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:37:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:37:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:38:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:38:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:38:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:38:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:38:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:38:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:39:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:39:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:39:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:39:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:39:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:39:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:40:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:40:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:40:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:40:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:40:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:40:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:41:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:41:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:41:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:41:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:41:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:41:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:42:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:42:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:42:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:42:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:42:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:42:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:43:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:43:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:43:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:43:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:43:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:43:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:44:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:44:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:44:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:44:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:44:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:44:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:45:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:45:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:45:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:45:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:45:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:45:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:46:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:46:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:46:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:46:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:46:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:46:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:47:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:47:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:47:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:47:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:47:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:47:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:48:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:48:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:48:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:48:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:48:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:48:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:49:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:49:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:49:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:49:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:49:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:49:25] "GET /api/submissions/pending-count/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:50:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:50:25] "GET /api/notifications/staff/1/count HTTP/1.1" 200 -
127.0.0.1 - - [05/Feb/2026 21:50:25] "GET /api/communications/unread-count/staff/1 HTTP/1.1" 200 -
